## Wed Jan 24 14:51:26 2024
## emapper-2.1.12
## /data/shared/home/emapper/miniconda3/envs/eggnog-mapper-2.1/bin/emapper.py --cpu 20 --mp_start_method forkserver --data_dir /dev/shm/ -o out --output_dir /emapper_web_jobs/emapper_jobs/user_data/MM_0go7jflx --temp_dir /emapper_web_jobs/emapper_jobs/user_data/MM_0go7jflx --override -m diamond --dmnd_ignore_warnings -i /emapper_web_jobs/emapper_jobs/user_data/MM_0go7jflx/queries.fasta --evalue 0.001 --score 60 --pident 40 --query_cover 20 --subject_cover 20 --itype genome --genepred prodigal --tax_scope auto --target_orthologs all --go_evidence non-electronic --pfam_realign none --report_orthologs --decorate_gff yes --excel
##
#query	seed_ortholog	evalue	score	eggNOG_OGs	max_annot_lvl	COG_category	Description	Preferred_name	GOs	EC	KEGG_ko	KEGG_Pathway	KEGG_Module	KEGG_Reaction	KEGG_rclass	BRITE	KEGG_TC	CAZy	BiGG_Reaction	PFAMs
Xanthobacter_chromosome_2326	666684.AfiDRAFT_1378	3.13e-291	796.0	COG1373@1|root,COG1373@2|Bacteria,1MWBT@1224|Proteobacteria,2U050@28211|Alphaproteobacteria,3K2VX@41294|Bradyrhizobiaceae	28211|Alphaproteobacteria	S	Domain of unknown function (DUF4143)	-	-	-	ko:K07133	-	-	-	-	ko00000	-	-	-	AAA_14,DUF4143
Xanthobacter_chromosome_2327	666684.AfiDRAFT_1379	0.0	1842.0	COG0419@1|root,COG0419@2|Bacteria,1QWDH@1224|Proteobacteria,2U1ND@28211|Alphaproteobacteria,3JZZ4@41294|Bradyrhizobiaceae	28211|Alphaproteobacteria	L	AAA domain, putative AbiEii toxin, Type IV TA system	-	-	-	-	-	-	-	-	-	-	-	-	AAA_21,AAA_23
Xanthobacter_chromosome_2328	666684.AfiDRAFT_1380	0.0	2401.0	COG3267@1|root,COG3267@2|Bacteria,1R1EX@1224|Proteobacteria,2U2TR@28211|Alphaproteobacteria,3JXAX@41294|Bradyrhizobiaceae	28211|Alphaproteobacteria	U	Type II secretory pathway component ExeA	-	-	-	-	-	-	-	-	-	-	-	-	-
Xanthobacter_chromosome_2329	1123269.NX02_10060	1.05e-178	506.0	2EYAZ@1|root,33RJC@2|Bacteria,1NIM9@1224|Proteobacteria,2UMRV@28211|Alphaproteobacteria,2K96C@204457|Sphingomonadales	204457|Sphingomonadales	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Xanthobacter_chromosome_2333	1038867.AXAY01000029_gene1705	2.12e-271	747.0	28JH2@1|root,2Z9AN@2|Bacteria,1R66S@1224|Proteobacteria,2TSDF@28211|Alphaproteobacteria,3K34Q@41294|Bradyrhizobiaceae	28211|Alphaproteobacteria	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Xanthobacter_chromosome_2334	666684.AfiDRAFT_1387	7.13e-272	748.0	COG0582@1|root,COG0582@2|Bacteria,1N2H9@1224|Proteobacteria,2TS7K@28211|Alphaproteobacteria,3JWPB@41294|Bradyrhizobiaceae	28211|Alphaproteobacteria	L	Belongs to the 'phage' integrase family	-	-	-	-	-	-	-	-	-	-	-	-	Arm-DNA-bind_3,Phage_int_SAM_3,Phage_integrase
Xanthobacter_chromosome_2335	78245.Xaut_0220	6.4e-53	166.0	COG2963@1|root,COG2963@2|Bacteria,1MZ3D@1224|Proteobacteria,2UBSS@28211|Alphaproteobacteria,3F1YB@335928|Xanthobacteraceae	28211|Alphaproteobacteria	L	PFAM transposase IS3 IS911 family protein	-	-	-	ko:K07497	-	-	-	-	ko00000	-	-	-	HTH_Tnp_1
Xanthobacter_chromosome_2336	78245.Xaut_3736	6.65e-190	530.0	COG2801@1|root,COG2801@2|Bacteria,1MVN5@1224|Proteobacteria,2TQK0@28211|Alphaproteobacteria,3F1JR@335928|Xanthobacteraceae	28211|Alphaproteobacteria	L	PFAM Integrase catalytic region	-	-	-	ko:K07497	-	-	-	-	ko00000	-	-	-	HTH_21,rve,rve_3
Xanthobacter_chromosome_2338	317619.ANKN01000006_gene835	2.18e-25	97.1	COG3293@1|root,COG3293@2|Bacteria,1G0BW@1117|Cyanobacteria	1117|Cyanobacteria	L	Transposase	-	-	-	ko:K07492	-	-	-	-	ko00000	-	-	-	DDE_Tnp_1,DUF4096
Xanthobacter_chromosome_2340	78245.Xaut_1334	2.11e-247	679.0	COG1063@1|root,COG1063@2|Bacteria,1MW6Y@1224|Proteobacteria,2TSUK@28211|Alphaproteobacteria,3F17C@335928|Xanthobacteraceae	28211|Alphaproteobacteria	C	Zinc-binding dehydrogenase	-	-	-	ko:K18369	ko00640,map00640	-	R10703	RC00545	ko00000,ko00001,ko01000	-	-	-	ADH_N,ADH_zinc_N
Xanthobacter_chromosome_2341	78245.Xaut_1335	3.16e-193	545.0	COG0183@1|root,COG0183@2|Bacteria,1MU8C@1224|Proteobacteria,2TS6P@28211|Alphaproteobacteria,3F0WZ@335928|Xanthobacteraceae	28211|Alphaproteobacteria	I	Belongs to the thiolase family	-	-	2.3.1.9	ko:K00626	ko00071,ko00072,ko00280,ko00310,ko00362,ko00380,ko00620,ko00630,ko00640,ko00650,ko00720,ko00900,ko01100,ko01110,ko01120,ko01130,ko01200,ko01212,ko02020,map00071,map00072,map00280,map00310,map00362,map00380,map00620,map00630,map00640,map00650,map00720,map00900,map01100,map01110,map01120,map01130,map01200,map01212,map02020	M00088,M00095,M00373,M00374,M00375	R00238,R01177	RC00004,RC00326	ko00000,ko00001,ko00002,ko01000,ko04147	-	-	-	Thiolase_C,Thiolase_N
Xanthobacter_chromosome_2345	365044.Pnap_3307	3.14e-12	67.4	2DQMJ@1|root,337MH@2|Bacteria,1NBJA@1224|Proteobacteria	1224|Proteobacteria	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Xanthobacter_chromosome_2346	78245.Xaut_4480	1.7e-192	552.0	COG4675@1|root,COG4675@2|Bacteria,1PE25@1224|Proteobacteria,2V8UM@28211|Alphaproteobacteria,3F1UP@335928|Xanthobacteraceae	28211|Alphaproteobacteria	S	tail collar domain protein	-	-	-	-	-	-	-	-	-	-	-	-	-
Xanthobacter_chromosome_2347	1038858.AXBA01000020_gene4642	1.67e-95	284.0	COG3778@1|root,COG3778@2|Bacteria,1Q0NU@1224|Proteobacteria,2U9SH@28211|Alphaproteobacteria,3F1F2@335928|Xanthobacteraceae	28211|Alphaproteobacteria	S	Uncharacterised protein conserved in bacteria (DUF2313)	-	-	-	-	-	-	-	-	-	-	-	-	DUF2313
Xanthobacter_chromosome_2348	78245.Xaut_4482	1.62e-165	473.0	COG3299@1|root,COG3299@2|Bacteria,1PYEJ@1224|Proteobacteria,2U6WP@28211|Alphaproteobacteria,3F0T4@335928|Xanthobacteraceae	28211|Alphaproteobacteria	S	Baseplate J-like protein	-	-	-	-	-	-	-	-	-	-	-	-	Baseplate_J
Xanthobacter_chromosome_2349	78245.Xaut_4483	3.04e-71	218.0	COG4381@1|root,COG4381@2|Bacteria,1N4WQ@1224|Proteobacteria,2UBX0@28211|Alphaproteobacteria,3F1P8@335928|Xanthobacteraceae	28211|Alphaproteobacteria	S	Phage protein GP46	-	-	-	-	-	-	-	-	-	-	-	-	GP46
Xanthobacter_chromosome_2350	78245.Xaut_4484	2.46e-66	208.0	COG4384@1|root,COG4384@2|Bacteria,1N6WQ@1224|Proteobacteria,2UG95@28211|Alphaproteobacteria,3F1IK@335928|Xanthobacteraceae	28211|Alphaproteobacteria	S	Bacteriophage Mu Gp45 protein	-	-	-	-	-	-	-	-	-	-	-	-	Phage_Mu_Gp45
Xanthobacter_chromosome_2351	78245.Xaut_4485	1.19e-170	489.0	COG4379@1|root,COG4379@2|Bacteria,1MX68@1224|Proteobacteria,2U8ZJ@28211|Alphaproteobacteria,3F0H1@335928|Xanthobacteraceae	28211|Alphaproteobacteria	S	Mu-like prophage tail protein	-	-	-	-	-	-	-	-	-	-	-	-	Phage_GPD
Xanthobacter_chromosome_2352	78245.Xaut_4486	6.39e-155	452.0	COG4228@1|root,COG4228@2|Bacteria,1R4HU@1224|Proteobacteria,2UBIU@28211|Alphaproteobacteria,3F0B7@335928|Xanthobacteraceae	28211|Alphaproteobacteria	L	DNA circularisation protein N-terminus	-	-	-	-	-	-	-	-	-	-	-	-	DNA_circ_N
Xanthobacter_chromosome_2353	78245.Xaut_4487	9.57e-281	790.0	COG5283@1|root,COG5412@1|root,COG5283@2|Bacteria,COG5412@2|Bacteria,1PE26@1224|Proteobacteria,2VCDQ@28211|Alphaproteobacteria,3F0CA@335928|Xanthobacteraceae	28211|Alphaproteobacteria	S	Phage-related minor tail protein	-	-	-	-	-	-	-	-	-	-	-	-	PhageMin_Tail
Xanthobacter_chromosome_2354	78245.Xaut_4488	3.12e-48	160.0	2E8AA@1|root,332P6@2|Bacteria,1N947@1224|Proteobacteria,2UHS5@28211|Alphaproteobacteria,3F1WQ@335928|Xanthobacteraceae	28211|Alphaproteobacteria	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Xanthobacter_chromosome_2355	78245.Xaut_4489	2.36e-61	190.0	2DFIJ@1|root,300Z6@2|Bacteria,1Q6IQ@1224|Proteobacteria,2VCP7@28211|Alphaproteobacteria,3F1S6@335928|Xanthobacteraceae	28211|Alphaproteobacteria	S	Phage tail tube protein	-	-	-	-	-	-	-	-	-	-	-	-	Tail_tube
Xanthobacter_chromosome_2356	78245.Xaut_4490	1.61e-241	676.0	COG4386@1|root,COG4386@2|Bacteria,1MXZD@1224|Proteobacteria,2TRBB@28211|Alphaproteobacteria,3F08P@335928|Xanthobacteraceae	28211|Alphaproteobacteria	S	Phage tail sheath protein subtilisin-like domain	-	-	-	-	-	-	-	-	-	-	-	-	Phage_sheath_1,Phage_sheath_1C
Xanthobacter_chromosome_2357	78245.Xaut_4491	1.03e-17	78.2	2AFD2@1|root,315CU@2|Bacteria,1PVEJ@1224|Proteobacteria,2V6U8@28211|Alphaproteobacteria,3F24J@335928|Xanthobacteraceae	28211|Alphaproteobacteria	S	Protein of unknown function (DUF2635)	-	-	-	-	-	-	-	-	-	-	-	-	DUF2635
Xanthobacter_chromosome_2358	78245.Xaut_4492	3.29e-73	226.0	COG5003@1|root,COG5003@2|Bacteria,1N97D@1224|Proteobacteria,2UF9K@28211|Alphaproteobacteria,3F1QX@335928|Xanthobacteraceae	28211|Alphaproteobacteria	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Xanthobacter_chromosome_2359	78245.Xaut_4494	5.63e-71	216.0	COG4387@1|root,COG4387@2|Bacteria,1Q26K@1224|Proteobacteria,2UHVJ@28211|Alphaproteobacteria	28211|Alphaproteobacteria	S	Protein of unknown function (DUF1320)	-	-	-	-	-	-	-	-	-	-	-	-	DUF1320
Xanthobacter_chromosome_2361	78245.Xaut_4497	1.59e-143	412.0	COG4397@1|root,COG4397@2|Bacteria,1MWX8@1224|Proteobacteria,2U0B4@28211|Alphaproteobacteria,3F1DW@335928|Xanthobacteraceae	28211|Alphaproteobacteria	S	Mu-like prophage major head subunit gpT	-	-	-	-	-	-	-	-	-	-	-	-	Mu-like_gpT
Xanthobacter_chromosome_2362	78245.Xaut_4498	2.22e-59	186.0	2CDSP@1|root,32RYD@2|Bacteria,1N213@1224|Proteobacteria,2UFIC@28211|Alphaproteobacteria,3F1ZK@335928|Xanthobacteraceae	28211|Alphaproteobacteria	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Xanthobacter_chromosome_2363	78245.Xaut_4499	8.6e-168	480.0	COG4388@1|root,COG4388@2|Bacteria,1QJ03@1224|Proteobacteria,2VCIV@28211|Alphaproteobacteria,3F1UC@335928|Xanthobacteraceae	28211|Alphaproteobacteria	S	Mu-like prophage I protein	-	-	-	-	-	-	-	-	-	-	-	-	Mu-like_Pro
Xanthobacter_chromosome_2364	78245.Xaut_4500	5.26e-96	282.0	COG5005@1|root,COG5005@2|Bacteria,1QDKX@1224|Proteobacteria,2VCJE@28211|Alphaproteobacteria,3F211@335928|Xanthobacteraceae	28211|Alphaproteobacteria	S	Phage virion morphogenesis family	-	-	-	-	-	-	-	-	-	-	-	-	Phage_tail_S
Xanthobacter_chromosome_2366	78245.Xaut_4501	1.45e-138	421.0	COG2369@1|root,COG2369@2|Bacteria,1R40R@1224|Proteobacteria,2U3XS@28211|Alphaproteobacteria,3F0KJ@335928|Xanthobacteraceae	28211|Alphaproteobacteria	S	Phage Mu protein F like protein	-	-	-	-	-	-	-	-	-	-	-	-	Phage_Mu_F
Xanthobacter_chromosome_2367	78245.Xaut_4502	7.27e-311	856.0	COG4383@1|root,COG4383@2|Bacteria,1MWNS@1224|Proteobacteria,2TR0Y@28211|Alphaproteobacteria	28211|Alphaproteobacteria	S	COG4383 Mu-like prophage protein gp29	-	-	-	-	-	-	-	-	-	-	-	-	DUF935
Xanthobacter_chromosome_2368	78245.Xaut_4503	7.26e-304	831.0	COG4373@1|root,COG4373@2|Bacteria,1N2KG@1224|Proteobacteria,2TR8M@28211|Alphaproteobacteria	28211|Alphaproteobacteria	S	Mu-like prophage FluMu protein gp28	-	-	-	-	-	-	-	-	-	-	-	-	Terminase_6,Terminase_6C
Xanthobacter_chromosome_2369	78245.Xaut_4504	4.37e-96	284.0	2D58I@1|root,32TIH@2|Bacteria,1Q4QC@1224|Proteobacteria,2UCSZ@28211|Alphaproteobacteria	28211|Alphaproteobacteria	S	Protein of unknown function (DUF3486)	-	-	-	-	-	-	-	-	-	-	-	-	DUF3486
Xanthobacter_chromosome_2370	1121448.DGI_0940	5.3e-14	69.3	COG0640@1|root,COG0640@2|Bacteria,1N7DS@1224|Proteobacteria,42WC9@68525|delta/epsilon subdivisions,2WRF6@28221|Deltaproteobacteria,2MDJ4@213115|Desulfovibrionales	28221|Deltaproteobacteria	K	Transcriptional regulator	-	-	-	-	-	-	-	-	-	-	-	-	-
Xanthobacter_chromosome_2371	78245.Xaut_4506	4.96e-56	177.0	29FG1@1|root,302DP@2|Bacteria,1PV7W@1224|Proteobacteria,2V6PK@28211|Alphaproteobacteria,3F1SM@335928|Xanthobacteraceae	28211|Alphaproteobacteria	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Xanthobacter_chromosome_2372	78245.Xaut_4507	3.61e-21	85.5	2AKX5@1|root,2ZDKD@2|Bacteria,1P82S@1224|Proteobacteria,2UY32@28211|Alphaproteobacteria	28211|Alphaproteobacteria	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Xanthobacter_chromosome_2375	78245.Xaut_4510	1.76e-165	476.0	COG3409@1|root,COG3409@2|Bacteria,1RAYU@1224|Proteobacteria,2U6D1@28211|Alphaproteobacteria,3F06M@335928|Xanthobacteraceae	28211|Alphaproteobacteria	M	Putative peptidoglycan binding domain	-	-	-	-	-	-	-	-	-	-	-	-	Muraidase,PG_binding_1
Xanthobacter_chromosome_2376	1320556.AVBP01000007_gene700	8.12e-11	62.4	COG5566@1|root,COG5566@2|Bacteria,1NGR6@1224|Proteobacteria	1224|Proteobacteria	S	PFAM Mor transcription activator	-	-	-	-	-	-	-	-	-	-	-	-	HTH_23,Mor
Xanthobacter_chromosome_2379	78245.Xaut_4512	2.28e-97	290.0	COG4382@1|root,COG4382@2|Bacteria,1PU01@1224|Proteobacteria,2VCNI@28211|Alphaproteobacteria,3F1GK@335928|Xanthobacteraceae	28211|Alphaproteobacteria	S	Protein of unknown function (DUF1018)	-	-	-	-	-	-	-	-	-	-	-	-	DUF1018
Xanthobacter_chromosome_2380	1120792.JAFV01000001_gene1671	3.81e-35	125.0	2DRG8@1|root,33BKG@2|Bacteria,1NP7Q@1224|Proteobacteria,2UKNT@28211|Alphaproteobacteria	28211|Alphaproteobacteria	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Xanthobacter_chromosome_2381	78245.Xaut_4514	1.06e-35	123.0	28XS6@1|root,2ZJNM@2|Bacteria,1PAH2@1224|Proteobacteria,2UYK3@28211|Alphaproteobacteria	28211|Alphaproteobacteria	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Xanthobacter_chromosome_2383	78245.Xaut_4518	3.73e-38	129.0	2DI9B@1|root,302F5@2|Bacteria,1PVBI@1224|Proteobacteria,2UYBQ@28211|Alphaproteobacteria,3F1ZI@335928|Xanthobacteraceae	28211|Alphaproteobacteria	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Xanthobacter_chromosome_2386	78245.Xaut_4520	5.75e-121	349.0	28NH3@1|root,2ZBJ1@2|Bacteria,1R5ME@1224|Proteobacteria,2TV6H@28211|Alphaproteobacteria,3F116@335928|Xanthobacteraceae	28211|Alphaproteobacteria	S	Protein of unknown function (DUF3164)	-	-	-	-	-	-	-	-	-	-	-	-	DUF3164
Xanthobacter_chromosome_2389	78245.Xaut_4524	1.18e-171	486.0	COG2842@1|root,COG2842@2|Bacteria,1R5DI@1224|Proteobacteria,2TXRM@28211|Alphaproteobacteria,3F0B1@335928|Xanthobacteraceae	28211|Alphaproteobacteria	S	Mu B transposition protein, C terminal	-	-	-	-	-	-	-	-	-	-	-	-	AAA_22,Phage-MuB_C
Xanthobacter_chromosome_2390	78245.Xaut_4525	0.0	1068.0	COG2801@1|root,COG2801@2|Bacteria,1MVXV@1224|Proteobacteria,2TTFT@28211|Alphaproteobacteria,3F0EM@335928|Xanthobacteraceae	28211|Alphaproteobacteria	L	Mu DNA binding, I gamma subdomain	-	-	-	ko:K07497	-	-	-	-	ko00000	-	-	-	DDE_2,HTH_Tnp_Mu_1,HTH_Tnp_Mu_2,Mu-transpos_C,rve
Xanthobacter_chromosome_2394	78245.Xaut_4526	8.52e-46	154.0	2D1I4@1|root,32TAT@2|Bacteria,1MZX9@1224|Proteobacteria,2UC3E@28211|Alphaproteobacteria	28211|Alphaproteobacteria	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Xanthobacter_chromosome_2395	78245.Xaut_4529	2.65e-149	426.0	COG1475@1|root,COG1475@2|Bacteria,1RBQ9@1224|Proteobacteria,2U6EB@28211|Alphaproteobacteria,3F1IM@335928|Xanthobacteraceae	28211|Alphaproteobacteria	K	ParB-like nuclease domain	-	-	-	ko:K03497	-	-	-	-	ko00000,ko03000,ko03036,ko04812	-	-	-	MT-A70,ParBc
Xanthobacter_chromosome_2396	1038858.AXBA01000020_gene4672	2.51e-38	130.0	COG3423@1|root,COG3423@2|Bacteria,1Q64F@1224|Proteobacteria,2VCCB@28211|Alphaproteobacteria,3F22H@335928|Xanthobacteraceae	28211|Alphaproteobacteria	K	Winged helix-turn-helix DNA-binding	-	-	-	-	-	-	-	-	-	-	-	-	HTH_35
Xanthobacter_chromosome_2397	438753.AZC_2124	9.14e-13	70.5	2DDM8@1|root,2ZIIE@2|Bacteria,1P7AE@1224|Proteobacteria,2UNE5@28211|Alphaproteobacteria	28211|Alphaproteobacteria	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Xanthobacter_chromosome_2399	1122604.JONR01000021_gene539	3.67e-17	80.1	COG0183@1|root,COG0183@2|Bacteria,1MU8C@1224|Proteobacteria,1RNDU@1236|Gammaproteobacteria	1236|Gammaproteobacteria	I	Belongs to the thiolase family	-	-	2.3.1.9	ko:K00626	ko00071,ko00072,ko00280,ko00310,ko00362,ko00380,ko00620,ko00630,ko00640,ko00650,ko00720,ko00900,ko01100,ko01110,ko01120,ko01130,ko01200,ko01212,ko02020,map00071,map00072,map00280,map00310,map00362,map00380,map00620,map00630,map00640,map00650,map00720,map00900,map01100,map01110,map01120,map01130,map01200,map01212,map02020	M00088,M00095,M00373,M00374,M00375	R00238,R01177	RC00004,RC00326	ko00000,ko00001,ko00002,ko01000,ko04147	-	-	-	Thiolase_C,Thiolase_N
Xanthobacter_chromosome_2400	78245.Xaut_1336	1.61e-275	755.0	COG0523@1|root,COG0523@2|Bacteria,1MVZV@1224|Proteobacteria,2TS4B@28211|Alphaproteobacteria,3EYJG@335928|Xanthobacteraceae	28211|Alphaproteobacteria	S	cobalamin synthesis CobW domain protein	-	-	-	-	-	-	-	-	-	-	-	-	CobW_C,cobW
Xanthobacter_chromosome_2401	78245.Xaut_1337	0.0	1249.0	COG3284@1|root,COG3284@2|Bacteria,1NRG5@1224|Proteobacteria,2TR0H@28211|Alphaproteobacteria	28211|Alphaproteobacteria	KQ	GAF modulated sigma54 specific transcriptional regulator, Fis family	-	-	-	ko:K21405	-	-	-	-	ko00000,ko03000	-	-	-	GAF,HTH_8,Sigma54_activat
Xanthobacter_chromosome_2402	78245.Xaut_1338	0.0	1113.0	COG0145@1|root,COG0145@2|Bacteria,1MU2Y@1224|Proteobacteria,2TQZ6@28211|Alphaproteobacteria,3F0D9@335928|Xanthobacteraceae	28211|Alphaproteobacteria	EQ	Hydantoinase/oxoprolinase N-terminal region	-	-	3.5.2.14	ko:K01473	ko00330,ko01100,map00330,map01100	-	R03187	RC00632	ko00000,ko00001,ko01000	-	-	-	Hydant_A_N,Hydantoinase_A
Xanthobacter_chromosome_2403	78245.Xaut_1339	8.94e-94	273.0	COG4647@1|root,COG4647@2|Bacteria,1RD95@1224|Proteobacteria,2U7A1@28211|Alphaproteobacteria	28211|Alphaproteobacteria	Q	Acetone carboxylase, gamma subunit	-	-	6.4.1.6	ko:K10856	-	-	-	-	ko00000,ko01000	-	-	-	Acetone_carb_G
Xanthobacter_chromosome_2404	1532558.JL39_23650	0.0	1319.0	COG0145@1|root,COG0145@2|Bacteria,1MU2Y@1224|Proteobacteria,2TQZ6@28211|Alphaproteobacteria,4BIIW@82115|Rhizobiaceae	28211|Alphaproteobacteria	EQ	Hydantoinase/oxoprolinase N-terminal region	-	-	3.5.2.14	ko:K01473	ko00330,ko01100,map00330,map01100	-	R03187	RC00632	ko00000,ko00001,ko01000	-	-	-	Hydant_A_N,Hydantoinase_A
Xanthobacter_chromosome_2405	78245.Xaut_1342	0.0	1494.0	COG0146@1|root,COG0146@2|Bacteria,1QU46@1224|Proteobacteria,2TR3I@28211|Alphaproteobacteria,3F1C9@335928|Xanthobacteraceae	28211|Alphaproteobacteria	EQ	Hydantoinase B/oxoprolinase	-	-	3.5.2.14	ko:K01474	ko00330,ko01100,map00330,map01100	-	R03187	RC00632	ko00000,ko00001,ko01000	-	-	-	Hydantoinase_B
Xanthobacter_chromosome_2406	78245.Xaut_1343	3.25e-171	481.0	28KRF@1|root,2ZA8Z@2|Bacteria,1R9AM@1224|Proteobacteria,2U4SW@28211|Alphaproteobacteria	28211|Alphaproteobacteria	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Xanthobacter_chromosome_2407	78245.Xaut_1344	1.03e-206	572.0	COG4313@1|root,COG4313@2|Bacteria,1R58D@1224|Proteobacteria,2U0SK@28211|Alphaproteobacteria	28211|Alphaproteobacteria	C	Putative MetA-pathway of phenol degradation	-	-	-	-	-	-	-	-	-	-	-	-	Phenol_MetA_deg
Xanthobacter_chromosome_2408	78245.Xaut_3946	3.43e-44	152.0	COG3221@1|root,COG3221@2|Bacteria,1QJET@1224|Proteobacteria,2TRTB@28211|Alphaproteobacteria,3F15R@335928|Xanthobacteraceae	28211|Alphaproteobacteria	P	ABC transporter, phosphonate, periplasmic substrate-binding protein	-	-	-	ko:K02044	ko02010,map02010	M00223	-	-	ko00000,ko00001,ko00002,ko02000	3.A.1.9	-	-	Phosphonate-bd
Xanthobacter_chromosome_2409	366602.Caul_1953	5.85e-234	649.0	COG0183@1|root,COG0183@2|Bacteria,1MU5G@1224|Proteobacteria,2TQQ7@28211|Alphaproteobacteria,2KG3B@204458|Caulobacterales	28211|Alphaproteobacteria	I	Belongs to the thiolase family	-	-	2.3.1.9	ko:K00626	ko00071,ko00072,ko00280,ko00310,ko00362,ko00380,ko00620,ko00630,ko00640,ko00650,ko00720,ko00900,ko01100,ko01110,ko01120,ko01130,ko01200,ko01212,ko02020,map00071,map00072,map00280,map00310,map00362,map00380,map00620,map00630,map00640,map00650,map00720,map00900,map01100,map01110,map01120,map01130,map01200,map01212,map02020	M00088,M00095,M00373,M00374,M00375	R00238,R01177	RC00004,RC00326	ko00000,ko00001,ko00002,ko01000,ko04147	-	-	-	Thiolase_C,Thiolase_N
Xanthobacter_chromosome_2410	78245.Xaut_3944	1.59e-79	237.0	COG1765@1|root,COG1765@2|Bacteria,1RIBQ@1224|Proteobacteria,2U9TC@28211|Alphaproteobacteria	28211|Alphaproteobacteria	O	Osmc family	-	-	-	-	-	-	-	-	-	-	-	-	OsmC
Xanthobacter_chromosome_2411	78245.Xaut_3420	5.87e-49	155.0	COG0526@1|root,COG0526@2|Bacteria,1N728@1224|Proteobacteria,2UFJA@28211|Alphaproteobacteria	28211|Alphaproteobacteria	CO	Thioredoxin domain	-	-	-	-	-	-	-	-	-	-	-	-	Thioredoxin_3
Xanthobacter_chromosome_2412	78245.Xaut_3419	9.49e-93	280.0	COG0701@1|root,COG0701@2|Bacteria,1MUN8@1224|Proteobacteria,2TRU3@28211|Alphaproteobacteria	28211|Alphaproteobacteria	S	permease	-	-	-	ko:K07089	-	-	-	-	ko00000	-	-	-	ArsP_1
Xanthobacter_chromosome_2413	438753.AZC_0217	4.29e-168	472.0	COG2801@1|root,COG2801@2|Bacteria,1MVN5@1224|Proteobacteria,2TQK0@28211|Alphaproteobacteria,3F1JR@335928|Xanthobacteraceae	28211|Alphaproteobacteria	L	PFAM Integrase catalytic region	-	-	-	ko:K07497	-	-	-	-	ko00000	-	-	-	HTH_21,rve,rve_3
Xanthobacter_chromosome_2414	438753.AZC_1932	8.86e-55	171.0	COG2963@1|root,COG2963@2|Bacteria,1RGZ5@1224|Proteobacteria,2UAIS@28211|Alphaproteobacteria,3F29A@335928|Xanthobacteraceae	28211|Alphaproteobacteria	L	Transposase	-	-	-	-	-	-	-	-	-	-	-	-	HTH_Tnp_1
Xanthobacter_chromosome_2415	272568.GDI2840	4.82e-168	472.0	COG2801@1|root,COG2801@2|Bacteria,1MVN5@1224|Proteobacteria,2TQK0@28211|Alphaproteobacteria,2JQHW@204441|Rhodospirillales	204441|Rhodospirillales	L	Integrase core domain	-	-	-	ko:K07497	-	-	-	-	ko00000	-	-	-	HTH_21,rve,rve_3
Xanthobacter_chromosome_2416	1131814.JAFO01000001_gene3967	1.07e-150	426.0	COG4262@1|root,COG4262@2|Bacteria,1P1G3@1224|Proteobacteria,2TQSR@28211|Alphaproteobacteria,3EYME@335928|Xanthobacteraceae	28211|Alphaproteobacteria	S	Spermidine synthase	MA20_16695	-	2.5.1.16	ko:K00797	ko00270,ko00330,ko00410,ko00480,ko01100,map00270,map00330,map00410,map00480,map01100	M00034,M00133	R01920,R02869,R08359	RC00021,RC00053	ko00000,ko00001,ko00002,ko01000	-	-	-	Spermine_synth
Xanthobacter_chromosome_2417	211165.AJLN01000116_gene3204	4.23e-64	208.0	COG5486@1|root,COG5486@2|Bacteria,1GF5E@1117|Cyanobacteria	1117|Cyanobacteria	S	Predicted metal-binding integral membrane protein (DUF2182)	-	-	-	-	-	-	-	-	-	-	-	-	DUF2182
Xanthobacter_chromosome_2418	525904.Tter_1982	2.2e-53	177.0	COG5588@1|root,COG5588@2|Bacteria	2|Bacteria	S	Protein of unknown function (DUF1326)	-	-	-	-	-	-	-	-	-	-	-	-	DUF1326
Xanthobacter_chromosome_2419	795666.MW7_0607	1.01e-52	175.0	COG1396@1|root,COG3837@1|root,COG1396@2|Bacteria,COG3837@2|Bacteria,1RCYA@1224|Proteobacteria,2VNAQ@28216|Betaproteobacteria,1KHSG@119060|Burkholderiaceae	28216|Betaproteobacteria	K	Helix-turn-helix XRE-family like proteins	-	-	-	-	-	-	-	-	-	-	-	-	Cupin_2,HTH_31
